#	PERIODIC TABLE OF THE ELMENTS
#
#	Text-based periodic table readable by just about any program
#	Simple format.  Lots of columns, separated by tabs and/or spaces.
#	The columns will line up to look pretty, but there's no requirement 
#        that they do.
#	(in other words, they should not be READ using a format string, 
#	but changes to this table - if any are ever made by a program - ought 
#	to be WRITTEN using a format string)
#	Any line with a # in front of it is a comment line.  Currently the 
#	file should be terminated with a "#END", as a workaround for what may 
#	be a bug in yorick rdline.
#	
#	Values used in this table are taken from Klug and Alexander: 
#	X-Ray Diffraction Procedures (2nd ed).
#	Mistakes are possible.  Please report any errors, updates, etc.
#
#		6-17-99
#
# 	Atomic Number
#	Element Name
#	Symbol
#	Atomic Weight (g/mol)
#	(mu/rho) Ag K-alpha ( angstroms) (g/cm^2)
#	(mu/rho) Mo K-alpha ( angstroms) (g/cm^2)
#	(mu/rho) Cu K-alpha ( angstroms) (g/cm^2)
#
#-----------------------------------------------------------------------------------------------------------
1	Hydrogen	H	1.008	.371	.380	.435
2	Helium		He	4.003	.195	.207	.383
3	Lithium		Li	6.941	.187	.217	.716
4	Beryllium	Be	9.012	.229	.298	1.50
5	Boron		B	10.81	.279	.392	2.39
6	Carbon		C	12.011	.400	.625	4.60
7	Nitrogen	N	14.007	.544	.916	7.52
8	Oxygen		O	15.9994	.740	1.31	11.5
9	Fluorine	F	18.998	.976	1.80	16.4
10	Neon		Ne	20.179	1.31	2.47	22.0
11	Sodium		Na	22.990	1.67	3.21	30.1
12	Magnesium	Mg	24.305	2.12	4.11	38.6
13	Aluminum	Al	26.98	2.65	5.16	48.6
14	Silicon		Si	28.09	3.28	6.44	60.6
15	Phosphorus	P	30.974	4.01	7.89	74.1
16	Sulfur		S	32.06	4.84	9.55	89.1
17	Chlorine	Cl	35.453	5.77	11.4	106
18	Argon		Ar	39.948	6.81	13.5	123
19	Potassium	K	39.102	8.00	15.8	143
20	Calcium		Ca	40.08	9.28	18.3	162
21	Scandium	Sc	44.96	10.7	21.1	184
22	Titanium	Ti	47.90	12.3	24.2	208
23	Vanadium	V	50.94	14.0	27.5	233
24	Chromium	Cr	51.996	15.8	31.1	260
25	Manganese	Mn	54.938	17.7	34.7	285
26	Iron		Fe	55.85	19.7	38.5	308
27	Cobalt		Co	58.93	21.8	42.5	313
28	Nickel		Ni	58.71	24.1	46.6	45.7
29	Copper		Cu	63.54	26.4	50.9	52.9
30	Zinc		Zn	65.37	28.8	55.4	60.3
31	Gallium		Ga	69.72	31.4	60.1	67.9
32	Germanium	Ge	72.59	34.1	64.8	75.6
33	Arsenic		As	74.92	36.9	69.7	83.4
34	Selenium	Se	78.96	39.8	74.7	91.4
35	Bromine		Br	79.904	42.7	79.8	99.6
36	Krypton		Kr	83.80	45.8	84.9	108
37	Rubidium	Rb	85.468	48.9	90.0	117
38	Strontium	Sr	87.62	52.1	95.0	125
39	Yttrium		Y	88.91	55.3	100	134
